# split=test
# Blind human labels: put A, D or B in the last column, following RUBRIC.md.
# Rows left blank are dropped from the estimate, which biases it toward easy rows, so guess when unsure.
# Do not open checkpoint*.jsonl or audit_report_*.txt before finishing: they contain the labels.
id	text	label
385	In this task, you are given a high-level goal 'How to Make a Paper Mask': Making a mask is a fun, easy and inexpensive way for adults or children to prepare for Halloween or a masquerade party. The masks can cover your entire face or just a small portion over your eyes. After you [...383 chars cut...] lor your mask with markers, crayons and paint. Add glitter, jewels, feathers or any other decoration you have available.	
667	How do I perform CPR on an adult?	
709	Write a concise summary of the following. Be sure to preserve important details: For best AI art results, it’s important to provide clear, descriptive text-to-image prompts and to adjust the settings in the AI tool to your desired level of customization and control. Experimenting with different keywords and styles can lead to surprising and unique AI generated images and art.	
756	Show me the difference between LCD and DC motors and explain why	
662	Create an infographic explaining how earthquakes happen	
224	Help me understand the layout of a commercial airplane cockpit	
718	Guide me through concrete curing from start to finish	
556	In this task, you are given a high-level goal 'How to Prepare a Boat for Fishing': Fishing from a boat provides certain advantages to fishing from shore, notably the ability to reach more fishing places during a fishing outing than the section of the lake or stream adjacent to a  [...470 chars cut...] he subsequent 5 steps to help the user to finish the task. The previous steps are: Renew your boat and trailer licenses.	
42	a portrait of a girl skull face, marilyn monroe, in the style of artgerm, charlie bowater, atey ghailan and mike mignola, vibrant colors and hard shadows and strong rim light, plain background, comic cover art, trending on artstation	
436	You are CreativeGeniusGPT a creative genius that brings innovative ideas to the table that change the existing paradigm. I am a student at ECAL and have a project in Photography with the theme "Experience", we were shown a ~10min long video that was ambient music overlaid with a  [...42 chars cut...] t of 10 ideas for a project that uses AI to generate images in a new and novel way, I don't want to have any lame ideas.	
652	I need to replace a toilet fill valve, what are the steps?	
46	In this task, you are given a high-level goal 'How to Steam Cauliflower': Cauliflower is a highly nutritious, tender vegetable when prepared properly. There are many different ways to cook it, but steaming is among the preferred methods since it tends to preserve the most flavor, [...366 chars cut...] ge stockpot of water to boil. Place a steamer basket in the stockpot. Add the cauliflower florets to the steamer basket.	
297	What does the structure of a muscle fiber look like in detail?	
390	Generate a report overview that consists of both text and multiple images, where text and images can be interleaved in an arbitrary order. You don't have to report the exact statistics or charts, but you should generate general text content and diagrams. You should follow the ins [...319 chars cut...] as, and photos of construction activities. Combine text and images to create an engaging real estate development report.	
332	In this task, you are given a high-level goal 'How to Make a BLT Sandwich': Basic, no-frills BLT sandwiches couldn't be easier to make — the ingredients are right in the name! BLTs (or bacon, lettuce, and tomato sandwiches) are simple yet delicious and make a great breakfast, bru [...458 chars cut...]  are: Cook the bacon. Add your spreads to one slice of bread. Add a few tomato slices. Add your lettuce. Add your bacon.	
475	high angle photo of ends watson in the style of stefan kostic, realistic, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, art by stanley lau and artgerm	
731	can you generate images	
640	Which major factions exist in Bruce Sterling’s Schismatrix universe?	
528	In this task, you are given a high-level goal 'How to Make Tea Eggs': Tea eggs are a year-round street food in China, but their mysterious marbled pattern and spiced flavor can impress dinner guests abroad. These characteristics develop during a long simmer in tea, soy sauce, and [...230 chars cut...] subsequent 4 steps to help the user to finish the task. The previous steps are: Bring more water to a boil. Add the tea.	
673	I want to use StableDiffusion to generate a picture that can show the Chinese Dragon Boat Festival, including mountains, the Great Wall, dragon boats and rice dumplings, in the style of Japanese anime. How can I input prompt words?	
670	can you create stable diffusion prompts?	
571	nekopara fantastically detailed eyes modern anime style art cute vibrant detailed ears cat girl neko dress portrait shinkai makoto Studio ghibli Sakimichan Stanley Artgerm Lau Rossdraws James Jean Marc Simonetti elegant highly detailed digital painting artstation pixiv	
89	How do I set up a home darkroom for film?	
88	How do I install a dimmer switch?	
14	Generate a testimonial for a vegan meal delivery service	
287	How do I build a bookshelf?	
559	behind a clump of trees, is a huge boar with the head of a wolf, concept art,	
274	fantasy forest landscape, dragon scales, fantasy magic, dark light night, intricate, elegant, sharp focus, illustration, highly detailed, digital painting, concept art, matte, art by WLOP and Artgerm and Greg Rutkowski, masterpiece	
72	In this task, you are given a high-level goal 'How to Eat Fajitas': If you've gathered all the ingredients for fajitas and are ready to put them together, there's a simple process for creating them. To make the best fajitas, start with a soft filling on top of the tortilla to hel [...458 chars cut...] Add equal amounts of meat and veggies on top of the soft fillings. Top your fajita off with extra toppings or garnishes.	
286	How do I check and replace brake pads on a car?	
110	Give a description of the following customer segment. Online shoppers in the US aged between 18-25	
647	can you create images?	
304	What is the correct batting stance in baseball?	
601	portrait of a floating winged aasimar paladin blond young man with amber eyes strong, sofisticated, fantasy, highly detailed, digital painting, artstation, concept art, character art, art by greg rutkowski and tyler jacobson and alphonse mucha	
66	What is the meaning of the following idiom? It’s raining cats and dogs	
104	Generate a list of marketing strategies to promote a new mobile app.	
551	extremely psychedelic animal made of orchid and cherry blossom tree and mushroom, LSD, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha	
585	Please explain building a custom arc in rust language	
530	Act as a marketing guru. As a marketing guru you come up with the most effective, creative, and unique marketing ideas and designs that sell and allow a great experience for the consumer. You are making a Linktree for a cannabis dispensary. What design, bio, description of links, [...38 chars cut...]  ask the user to describe the business and ask any other information and questions to make the most effective decisions.	
674	Is it possible to build a ZFS pool that contains two fast SSDs, and one slower disk, so that a user can get very fast reads and writes but still be able to tolerate the loss of disks due to redundancy on the slower disk?	
252	In this task, you are given a high-level goal 'How to Read for Pleasure Using the Public Library': Libraries have a great deal to offer the public. Many have classes where you can learn to knit, prepare your taxes, or even find a new job. You can also borrow audiovisual material  [...334 chars cut...] 1 steps to help the user to finish the task. The previous steps are: Start at the front desk. Browse the fiction stacks.	
534	Stable Diffusion promts young Disney man a beige miniskirt, dark brown turtleneck sweater, small neckless, cute-fine-face, anime. illustration, realistic shaded perfect face, brown hair, grey eyes, fine details, realistic shaded lighting by ilya kuvshinov giuseppe dangelico pino and michael garmash and rob rey, iamag premiere, wlop matte print	
364	In this task, you are given a high-level goal 'How to Celebrate a Fall Harvest': Harvest time during fall (autumn) is a wonderful time. There is a bounty of food, the beauty of changing leaves and the gradual descent into cooler weather. It's a great time to celebrate and while t [...275 chars cut...] dict the subsequent 2 steps to help the user to finish the task. The previous steps are: Harvest your crops from summer.	
536	In this task, you are given a high-level goal 'How to Make Sweet and Sour Pork': Sweet and sour pork is so much better when it hasn't been under heat lamps for hours sitting in a buffet tray. When you make it yourself, you'll be amazed at the difference. Check out the three diffe [...345 chars cut...] starch in its own bowl. Place the covered pork on a sprayed cookie sheet or baking dish and bake at 350° for 25 minutes.	
520	a pin up and beautiful fashion and charming and dreamlke japan girl with lv jewelry, character art, art by artgerm lau and kyoung hwan kim and and ilya kuvshinov and john singer sargent, hyperdetailed, 8 k realistic, symmetrical, frostbite 3 engine, cryengine, dof, trending on artstation, digital art	
748	can you generate image prompts for stable diffusion?	
119	You keep on creepin', let the night be scary	
347	List of 60 prompts to create Weather coloring book images for toddlers	
644	make this text longer and better: For each video tutorial, creating a script will be necessary even though a voice-off will be added explaining the process for each video for better understanding and more friendly for those customers with visual disabilities; the video description, or subtitles, will help those with audio disabilities.	
86	Teach me macramé for beginners	
77	In this task, you are given a high-level goal 'How to Make Nettle Tea': Despite the painful stings the fresh plant delivers, brewed or cooked nettle is safe to eat. It may even be downright nutritious. Talk to your doctor before brewing if you are taking medication or have a medi [...160 chars cut...] to help the user to finish the task. The previous steps are: Gather young, spring nettles. Protect yourself from stings.	
614	Categorize each of the following as either 'spicy', 'not spicy' or 'sometimes spicy': jalapenos, chilis, sriracha, chips, pizza, cocktails, fruit, milk	
229	How do I install a garbage disposal?	
363	symmetry!! landscape portrait of a group hybrid robot mamath elephant big tusk, floral! horizonu zero dawn machine, intricate, elegant, highly detailed, ray tracing, digital painting, ancient ruins background, sunrise, atmospheric lighting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k	
578	How do I create an image with AI?	
53	I need to tile a bathroom floor, what are the steps?	
284	White Widow, glossy intricate design, digital art, smooth vibrancy, high detail texture, lighting, 8k, unreal engine 5 rendered, marmoset toolbag rendered, octane rendered, trending in ArtStation, Art Style by Popularity_Choi and Ian Sprigger	
712	In this task, you are given a high-level goal 'How to Efficiently Pack Goods in Storage': Packing your stuff is not an easy task. There are important things for you to consider for it to become efficient. [[Category:Moving House and Packing You need to assist human user to comple [...384 chars cut...] remember to avoid making them too heavy. Label all boxes legibly so you can identify the contents and keep an inventory.	
180	In this task, you are given a high-level goal 'How to Make Vegan Fish and Chips': Vegans can enjoy a plate of fish and chips with this contemporary twist on the traditional recipe. Substitute tofu for fish, which makes for a healthy alternative to the traditional fish and chips r [...241 chars cut...] edients. Stir together the ingredients specified for the sauce ingredients, in a medium bowl while the tofu is draining.	
161	Plan for a three day road trip for May long weekend from Westfield, New Jersey	
515	Can you generate a picture of the artifact 49.3 (law text)	
154	beautiful black woman lower back wearing kimono, ultra realistic, concept art, intricate details, eerie, horror, highly detailed, photorealistic, octane render, 8 k, unreal engine. art by artgerm and greg rutkowski and alphonse mucha	
240	turnitin降重“After the emergence of medical image segmentation, we can effectively solve some problems such as subjectivity, error and time-consuming of manual segmentation in medical image processing”	
484	anatomical sculpture of central nervous system, quixel megascans, photorealism, cgi, digital concept art, redshift render, physically based rendering, cinematic, filmic	
675	How is a telescope put together?	
285	a swamp with one huge tree, dark colors, misty, light rays, sunset!, beautiful lighting, vivid colors, intricate, elegant, smooth, sharp focus, highly detailed digital painting, concept art, cinematic, unreal engine, 4 k wallpaper, svetlin velinov, tarmo juhola, artstation trending	
422	a ( girl as personification of chocolate cupcake ), fantasy bakery, digital art by artgerm, krenz cushart, laurie greasly, wlop, intricate, ( highly detailed figure ), sharp focus, smooth, epic composition, joyful, unreal engine	
