task,metric,model,kind,parameters_billion,score,open_weights,on_displayed_frontier,evidence_type,observation_id,revision,native_artifact_sha256
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-base-2M,peer,0.002,51.5629,True,True,registry_reported,registry_reported:minishlab/potion-base-2M,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-base-4M,peer,0.004,53.420100000000005,True,True,registry_reported,registry_reported:minishlab/potion-base-4M,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/M2V_base_output,peer,0.008,51.5478,True,False,registry_reported,registry_reported:minishlab/M2V_base_output,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-base-8M,peer,0.008,55.0836,True,True,registry_reported,registry_reported:minishlab/potion-base-8M,,
ArXivHierarchicalClusteringP2P,v_measure,cointegrated/rubert-tiny,peer,0.012,51.402300000000004,True,False,registry_reported,registry_reported:cointegrated/rubert-tiny,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/Squirtle,peer,0.016,52.7656,True,False,registry_reported,registry_reported:Mihaiii/Squirtle,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/Venusaur,peer,0.016,52.23100000000001,True,False,registry_reported,registry_reported:Mihaiii/Venusaur,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/Bulbasaur,peer,0.017,54.8762,True,False,registry_reported,registry_reported:Mihaiii/Bulbasaur,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/Wartortle,peer,0.017,55.6376,True,True,registry_reported,registry_reported:Mihaiii/Wartortle,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/gte-micro,peer,0.017,54.446600000000004,True,False,registry_reported,registry_reported:Mihaiii/gte-micro,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/gte-micro-v4,peer,0.019,55.395,True,False,registry_reported,registry_reported:Mihaiii/gte-micro-v4,,
ArXivHierarchicalClusteringP2P,v_measure,Mihaiii/Ivysaur,peer,0.023,57.322799999999994,True,False,registry_reported,registry_reported:Mihaiii/Ivysaur,,
ArXivHierarchicalClusteringP2P,v_measure,MongoDB/mdbr-leaf-mt,peer,0.023,60.2909,True,True,registry_reported,registry_reported:MongoDB/mdbr-leaf-mt,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-xs,peer,0.023,54.9722,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-xs,,
ArXivHierarchicalClusteringP2P,v_measure,avsolatorio/GIST-all-MiniLM-L6-v2,peer,0.023,59.067099999999996,True,False,registry_reported,registry_reported:avsolatorio/GIST-all-MiniLM-L6-v2,,
ArXivHierarchicalClusteringP2P,v_measure,brahmairesearch/slx-v0.1,peer,0.023,59.106899999999996,True,False,registry_reported,registry_reported:brahmairesearch/slx-v0.1,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/all-MiniLM-L6-v2,peer,0.023,59.10688886391535,True,False,registry_reported,registry_reported:sentence-transformers/all-MiniLM-L6-v2,,
ArXivHierarchicalClusteringP2P,v_measure,cointegrated/rubert-tiny2,peer,0.029,50.8803,True,False,registry_reported,registry_reported:cointegrated/rubert-tiny2,,
ArXivHierarchicalClusteringP2P,v_measure,sergeyzh/rubert-tiny-turbo,peer,0.029,50.017500000000005,True,False,registry_reported,registry_reported:sergeyzh/rubert-tiny-turbo,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-30m-english,peer,0.03,57.01690000000001,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-30m-english,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/static-retrieval-mrl-en-v1,peer,0.031,46.593,True,False,registry_reported,registry_reported:sentence-transformers/static-retrieval-mrl-en-v1,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-base-32M,peer,0.032,56.4517,True,False,registry_reported,registry_reported:minishlab/potion-base-32M,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/potion-retrieval-32M,peer,0.032,56.267999999999994,True,False,registry_reported,registry_reported:minishlab/potion-retrieval-32M,,
ArXivHierarchicalClusteringP2P,v_measure,BAAI/bge-small-en-v1.5,peer,0.033,59.52876517144434,True,False,registry_reported,registry_reported:BAAI/bge-small-en-v1.5,,
ArXivHierarchicalClusteringP2P,v_measure,ManiacLabs/miniac-embed,peer,0.033,59.259771475443856,True,False,registry_reported,registry_reported:ManiacLabs/miniac-embed,,
ArXivHierarchicalClusteringP2P,v_measure,Snowflake/snowflake-arctic-embed-s,peer,0.033,55.387100000000004,True,False,registry_reported,registry_reported:Snowflake/snowflake-arctic-embed-s,,
ArXivHierarchicalClusteringP2P,v_measure,abhinand/MedEmbed-small-v0.1,peer,0.033,60.553599999999996,True,True,registry_reported,registry_reported:abhinand/MedEmbed-small-v0.1,,
ArXivHierarchicalClusteringP2P,v_measure,avsolatorio/GIST-small-Embedding-v0,peer,0.033,59.6633,True,False,registry_reported,registry_reported:avsolatorio/GIST-small-Embedding-v0,,
ArXivHierarchicalClusteringP2P,v_measure,avsolatorio/NoInstruct-small-Embedding-v0,peer,0.033,60.11260000000001,True,False,registry_reported,registry_reported:avsolatorio/NoInstruct-small-Embedding-v0,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-small,peer,0.033,54.796,True,False,registry_reported,registry_reported:intfloat/e5-small,,
ArXivHierarchicalClusteringP2P,v_measure,intfloat/e5-small-v2,peer,0.033,53.8363445953143,True,False,registry_reported,registry_reported:intfloat/e5-small-v2,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embeddings-v2-small-en,peer,0.033,48.3147,True,False,registry_reported,registry_reported:jinaai/jina-embeddings-v2-small-en,,
ArXivHierarchicalClusteringP2P,v_measure,sentence-transformers/all-MiniLM-L12-v2,peer,0.033,57.444530301367216,True,False,registry_reported,registry_reported:sentence-transformers/all-MiniLM-L12-v2,,
ArXivHierarchicalClusteringP2P,v_measure,thenlper/gte-small,peer,0.033,58.3687,True,False,registry_reported,registry_reported:thenlper/gte-small,,
ArXivHierarchicalClusteringP2P,v_measure,jinaai/jina-embedding-s-en-v1,peer,0.035,47.4345,True,False,registry_reported,registry_reported:jinaai/jina-embedding-s-en-v1,,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-small-english-r2,peer,0.048,57.099999999999994,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-small-english-r2,,
ArXivHierarchicalClusteringP2P,v_measure,prdev/mini-gte,peer,0.066,58.506899999999995,True,False,registry_reported,registry_reported:prdev/mini-gte,,
ArXivHierarchicalClusteringP2P,v_measure,codefuse-ai/F2LLM-v2-80M,peer,0.080084288,63.4236,True,False,registry_reported,registry_reported:codefuse-ai/F2LLM-v2-80M,35baae5091e26211dbe628f1723448c146fafdf2,
ArXivHierarchicalClusteringP2P,v_measure,codefuse-ai/F2LLM-v2-80M,peer,0.080084288,69.74221347455739,True,True,independent_rerun,rerun:F2LLM-v2-80M:6faa7738:ArXivHierarchicalClusteringP2P:2026-09-18,6faa7738f343cd4321f9b2fa92fdb7cae3c117a5,
ArXivHierarchicalClusteringP2P,v_measure,ibm-granite/granite-embedding-97m-multilingual-r2,peer,0.097,57.1886,True,False,registry_reported,registry_reported:ibm-granite/granite-embedding-97m-multilingual-r2,,
ArXivHierarchicalClusteringP2P,v_measure,malenia1/ternary-weight-embedding,peer,0.099,47.562599999999996,True,False,registry_reported,registry_reported:malenia1/ternary-weight-embedding,,
ArXivHierarchicalClusteringP2P,v_measure,minishlab/M2V_base_glove,peer,0.102,53.4444,True,False,registry_reported,registry_reported:minishlab/M2V_base_glove,,
